imgpath,label,label_index,fold
/Users/cristianion/Desktop/satimg_data/NWPU-RESISC45/desert/desert_222.jpg,desert,0,1
/Users/cristianion/Desktop/satimg_data/NWPU-RESISC45/desert/desert_595.jpg,desert,0,3
/Users/cristianion/Desktop/satimg_data/NWPU-RESISC45/desert/desert_009.jpg,desert,0,4
/Users/cristianion/Desktop/satimg_data/NWPU-RESISC45/desert/desert_667.jpg,desert,0,3
/Users/cristianion/Desktop/satimg_data/NWPU-RESISC45/desert/desert_094.jpg,desert,0,3
/Users/cristianion/Desktop/satimg_data/NWPU-RESISC45/desert/desert_335.jpg,desert,0,3
/Users/cristianion/Desktop/satimg_data/NWPU-RESISC45/desert/desert_412.jpg,desert,0,3
/Users/cristianion/Desktop/satimg_data/NWPU-RESISC45/desert/desert_451.jpg,desert,0,3
/Users/cristianion/Desktop/satimg_data/NWPU-RESISC45/desert/desert_555.jpg,desert,0,3
/Users/cristianion/Desktop/satimg_data/NWPU-RESISC45/desert/desert_011.jpg,desert,0,3
/Users/cristianion/Desktop/satimg_data/NWPU-RESISC45/desert/desert_158.jpg,desert,0,3
/Users/cristianion/Desktop/satimg_data/NWPU-RESISC45/desert/desert_174.jpg,desert,0,4
/Users/cristianion/Desktop/satimg_data/NWPU-RESISC45/desert/desert_163.jpg,desert,0,3
/Users/cristianion/Desktop/satimg_data/NWPU-RESISC45/desert/desert_389.jpg,desert,0,3
/Users/cristianion/Desktop/satimg_data/NWPU-RESISC45/desert/desert_596.jpg,desert,0,3
/Users/cristianion/Desktop/satimg_data/NWPU-RESISC45/desert/desert_518.jpg,desert,0,3
/Users/cristianion/Desktop/satimg_data/NWPU-RESISC45/desert/desert_570.jpg,desert,0,3
/Users/cristianion/Desktop/satimg_data/NWPU-RESISC45/desert/desert_081.jpg,desert,0,3
/Users/cristianion/Desktop/satimg_data/NWPU-RESISC45/desert/desert_534.jpg,desert,0,3
/Users/cristianion/Desktop/satimg_data/NWPU-RESISC45/desert/desert_006.jpg,desert,0,4
/Users/cristianion/Desktop/satimg_data/NWPU-RESISC45/desert/desert_096.jpg,desert,0,4
/Users/cristianion/Desktop/satimg_data/NWPU-RESISC45/desert/desert_370.jpg,desert,0,4
/Users/cristianion/Desktop/satimg_data/NWPU-RESISC45/desert/desert_283.jpg,desert,0,4
/Users/cristianion/Desktop/satimg_data/NWPU-RESISC45/desert/desert_064.jpg,desert,0,3
/Users/cristianion/Desktop/satimg_data/NWPU-RESISC45/desert/desert_115.jpg,desert,0,4
/Users/cristianion/Desktop/satimg_data/NWPU-RESISC45/desert/desert_609.jpg,desert,0,2
/Users/cristianion/Desktop/satimg_data/NWPU-RESISC45/desert/desert_247.jpg,desert,0,2
/Users/cristianion/Desktop/satimg_data/NWPU-RESISC45/desert/desert_478.jpg,desert,0,2
/Users/cristianion/Desktop/satimg_data/NWPU-RESISC45/desert/desert_382.jpg,desert,0,2
/Users/cristianion/Desktop/satimg_data/NWPU-RESISC45/desert/desert_400.jpg,desert,0,5
/Users/cristianion/Desktop/satimg_data/NWPU-RESISC45/desert/desert_062.jpg,desert,0,5
/Users/cristianion/Desktop/satimg_data/NWPU-RESISC45/desert/desert_118.jpg,desert,0,5
/Users/cristianion/Desktop/satimg_data/NWPU-RESISC45/desert/desert_337.jpg,desert,0,2
/Users/cristianion/Desktop/satimg_data/NWPU-RESISC45/desert/desert_493.jpg,desert,0,2
/Users/cristianion/Desktop/satimg_data/NWPU-RESISC45/desert/desert_509.jpg,desert,0,2
/Users/cristianion/Desktop/satimg_data/NWPU-RESISC45/desert/desert_279.jpg,desert,0,2
/Users/cristianion/Desktop/satimg_data/NWPU-RESISC45/desert/desert_066.jpg,desert,0,2
/Users/cristianion/Desktop/satimg_data/NWPU-RESISC45/desert/desert_364.jpg,desert,0,2
/Users/cristianion/Desktop/satimg_data/NWPU-RESISC45/desert/desert_640.jpg,desert,0,5
/Users/cristianion/Desktop/satimg_data/NWPU-RESISC45/desert/desert_046.jpg,desert,0,5
/Users/cristianion/Desktop/satimg_data/NWPU-RESISC45/desert/desert_520.jpg,desert,0,2
/Users/cristianion/Desktop/satimg_data/NWPU-RESISC45/desert/desert_250.jpg,desert,0,2
/Users/cristianion/Desktop/satimg_data/NWPU-RESISC45/desert/desert_326.jpg,desert,0,5
/Users/cristianion/Desktop/satimg_data/NWPU-RESISC45/desert/desert_233.jpg,desert,0,2
/Users/cristianion/Desktop/satimg_data/NWPU-RESISC45/desert/desert_695.jpg,desert,0,2
/Users/cristianion/Desktop/satimg_data/NWPU-RESISC45/desert/desert_039.jpg,desert,0,5
/Users/cristianion/Desktop/satimg_data/NWPU-RESISC45/desert/desert_116.jpg,desert,0,4
/Users/cristianion/Desktop/satimg_data/NWPU-RESISC45/desert/desert_358.jpg,desert,0,2
/Users/cristianion/Desktop/satimg_data/NWPU-RESISC45/desert/desert_644.jpg,desert,0,2
/Users/cristianion/Desktop/satimg_data/NWPU-RESISC45/desert/desert_538.jpg,desert,0,3
/Users/cristianion/Desktop/satimg_data/NWPU-RESISC45/desert/desert_093.jpg,desert,0,4
/Users/cristianion/Desktop/satimg_data/NWPU-RESISC45/desert/desert_162.jpg,desert,0,4
/Users/cristianion/Desktop/satimg_data/NWPU-RESISC45/desert/desert_025.jpg,desert,0,3
/Users/cristianion/Desktop/satimg_data/NWPU-RESISC45/desert/desert_070.jpg,desert,0,3
/Users/cristianion/Desktop/satimg_data/NWPU-RESISC45/desert/desert_190.jpg,desert,0,4
/Users/cristianion/Desktop/satimg_data/NWPU-RESISC45/desert/desert_551.jpg,desert,0,4
/Users/cristianion/Desktop/satimg_data/NWPU-RESISC45/desert/desert_104.jpg,desert,0,4
/Users/cristianion/Desktop/satimg_data/NWPU-RESISC45/desert/desert_501.jpg,desert,0,3
/Users/cristianion/Desktop/satimg_data/NWPU-RESISC45/desert/desert_097.jpg,desert,0,3
/Users/cristianion/Desktop/satimg_data/NWPU-RESISC45/desert/desert_218.jpg,desert,0,3
/Users/cristianion/Desktop/satimg_data/NWPU-RESISC45/desert/desert_252.jpg,desert,0,3
/Users/cristianion/Desktop/satimg_data/NWPU-RESISC45/desert/desert_463.jpg,desert,0,3
/Users/cristianion/Desktop/satimg_data/NWPU-RESISC45/desert/desert_246.jpg,desert,0,4
/Users/cristianion/Desktop/satimg_data/NWPU-RESISC45/desert/desert_331.jpg,desert,0,3
/Users/cristianion/Desktop/satimg_data/NWPU-RESISC45/desert/desert_285.jpg,desert,0,4
/Users/cristianion/Desktop/satimg_data/NWPU-RESISC45/desert/desert_251.jpg,desert,0,3
/Users/cristianion/Desktop/satimg_data/NWPU-RESISC45/desert/desert_435.jpg,desert,0,4
/Users/cristianion/Desktop/satimg_data/NWPU-RESISC45/desert/desert_092.jpg,desert,0,3
/Users/cristianion/Desktop/satimg_data/NWPU-RESISC45/desert/desert_652.jpg,desert,0,3
/Users/cristianion/Desktop/satimg_data/NWPU-RESISC45/desert/desert_040.jpg,desert,0,3
/Users/cristianion/Desktop/satimg_data/NWPU-RESISC45/desert/desert_323.jpg,desert,0,3
/Users/cristianion/Desktop/satimg_data/NWPU-RESISC45/desert/desert_399.jpg,desert,0,4
/Users/cristianion/Desktop/satimg_data/NWPU-RESISC45/desert/desert_543.jpg,desert,0,3
/Users/cristianion/Desktop/satimg_data/NWPU-RESISC45/desert/desert_554.jpg,desert,0,4
/Users/cristianion/Desktop/satimg_data/NWPU-RESISC45/desert/desert_178.jpg,desert,0,4
/Users/cristianion/Desktop/satimg_data/NWPU-RESISC45/desert/desert_239.jpg,desert,0,3
/Users/cristianion/Desktop/satimg_data/NWPU-RESISC45/desert/desert_287.jpg,desert,0,3
/Users/cristianion/Desktop/satimg_data/NWPU-RESISC45/desert/desert_330.jpg,desert,0,4
/Users/cristianion/Desktop/satimg_data/NWPU-RESISC45/desert/desert_466.jpg,desert,0,3
/Users/cristianion/Desktop/satimg_data/NWPU-RESISC45/desert/desert_249.jpg,desert,0,3
/Users/cristianion/Desktop/satimg_data/NWPU-RESISC45/desert/desert_568.jpg,desert,0,3
/Users/cristianion/Desktop/satimg_data/NWPU-RESISC45/desert/desert_120.jpg,desert,0,3
/Users/cristianion/Desktop/satimg_data/NWPU-RESISC45/desert/desert_673.jpg,desert,0,3
/Users/cristianion/Desktop/satimg_data/NWPU-RESISC45/desert/desert_413.jpg,desert,0,3
/Users/cristianion/Desktop/satimg_data/NWPU-RESISC45/desert/desert_328.jpg,desert,0,3
/Users/cristianion/Desktop/satimg_data/NWPU-RESISC45/desert/desert_638.jpg,desert,0,3
/Users/cristianion/Desktop/satimg_data/NWPU-RESISC45/desert/desert_630.jpg,desert,0,3
/Users/cristianion/Desktop/satimg_data/NWPU-RESISC45/desert/desert_583.jpg,desert,0,3
/Users/cristianion/Desktop/satimg_data/NWPU-RESISC45/desert/desert_177.jpg,desert,0,3
/Users/cristianion/Desktop/satimg_data/NWPU-RESISC45/desert/desert_203.jpg,desert,0,3
/Users/cristianion/Desktop/satimg_data/NWPU-RESISC45/desert/desert_514.jpg,desert,0,3
/Users/cristianion/Desktop/satimg_data/NWPU-RESISC45/desert/desert_123.jpg,desert,0,3
/Users/cristianion/Desktop/satimg_data/NWPU-RESISC45/desert/desert_027.jpg,desert,0,3
/Users/cristianion/Desktop/satimg_data/NWPU-RESISC45/desert/desert_381.jpg,desert,0,3
/Users/cristianion/Desktop/satimg_data/NWPU-RESISC45/desert/desert_553.jpg,desert,0,3
